Molecule ChEMBL ID,Molecule Name,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Comment,Response
CHEMBL25437,,N[C@H](C(=O)N1CCCC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,IC50,'=',88.0,nM,,Active
CHEMBL184961,,N[C@@H](CC(=O)N1CCSC1)Cc1cccc(F)c1F,IC50,'=',9400.0,nM,,Inactive
CHEMBL427257,,CC1C(=O)NCCCN1C(=O)C[C@H](N)Cc1cc(F)ccc1F,IC50,'=',11.5,nM,,Active
CHEMBL189881,,C[C@@H](c1ccc(-c2ccc(F)cc2)cc1)[C@H](N)C(=O)N1CC[C@H](F)C1,IC50,'=',64.0,nM,,Active
CHEMBL382980,,O=C(CNC1CCC1)N1CCC[C@H]1B(O)O,IC50,'=',75.0,nM,,Active
CHEMBL175988,,CN(C)CCCNCC(F)=C1CCCCC1,IC50,'>',1000000.0,nM,,Inactive
CHEMBL176121,,C(CNC1CCCCC1)=C1CCCC1,IC50,'>',1000000.0,nM,,Inactive
CHEMBL186482,,COC(=O)Cc1ccc(CNC(=O)[C@@H]2CSCN2C(=O)CC(N)Cc2ccccc2F)cc1,IC50,'=',87.0,nM,,Active
CHEMBL2159193,,Cn1c(=O)c2c(-c3cc(F)ccc3Br)c(CN)c(N3CCOCC3)nc2n(C)c1=O,IC50,'=',4.6,nM,,Active
CHEMBL3686739,,O=C(CNC12CC3CC(CC(O)(C3)C1)C2)N1CCC[C@H]1B(O)O,IC50,'=',42.0,nM,277820,Active
CHEMBL3686743,,N[C@@H](CC(=O)O)C(=S)N1CCC[C@H]1B(O)O,IC50,'=',17.0,nM,277825,Active
CHEMBL3686744,,N[C@@H](CCC(=O)O)C(=S)N1CCC[C@H]1B(O)O,IC50,'=',4.6,nM,277827,Active
CHEMBL3686746,,CCC[C@H](N)C(=S)N1CCC[C@H]1B(O)O,IC50,'=',1.6,nM,277829,Active
CHEMBL3686750,,N=C(N)NCCC[C@H](N)C(=S)N1CCC[C@H]1B(O)O,IC50,'=',1.2,nM,277833,Active
CHEMBL3686735,,C[C@H](NC(=S)[C@H](C)N)B(O)O,IC50,'=',7700.0,nM,277841,Inactive
CHEMBL3686741,,O=C(CNCc1ccccc1)N1CCC[C@H]1B(O)O,IC50,'=',69000.0,nM,277850,Inactive
CHEMBL3645491,,CS(=O)(=O)n1cc2c(n1)CN([C@H]1COC(c3cc(F)c(F)cc3F)[C@@H](N)C1)C2,IC50,'=',2.2,nM,226303,Active
CHEMBL3645496,,N[C@H]1C[C@@H](N2Cc3cn(S(=O)(=O)C4CC4)nc3C2)COC1c1cc(F)c(F)cc1F,IC50,'=',1.9,nM,226304,Active
CHEMBL3645497,,N[C@H]1C[C@@H](N2Cc3cn(S(=O)(=O)C4CC4)nc3C2)COC1c1cc(F)ccc1F,IC50,'=',1.0,nM,226306,Active
CHEMBL196188,,CN(CC(=O)N1CCC[C@@H]1B(O)O)C1C2CC3CC(C2)CC1C3,IC50,'=',1600.0,nM,,Inactive
CHEMBL539077,,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,IC50,'=',18.0,nM,,Active
CHEMBL365834,,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(C(=O)O)c1)C1CCCCC1,IC50,'=',3300.0,nM,,Inactive
CHEMBL177696,,O=C(CNC1CCCCC1)N1CCCCC1,IC50,'>',1000000.0,nM,,Inactive
CHEMBL183736,,CC(Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2ccccc2F)cc1)C(=O)O,IC50,'=',18.0,nM,,Active
CHEMBL365838,,CCCCC(Oc1ccc(CNC(=O)[C@@H]2CCCN2C(=O)CC(N)Cc2ccccc2F)cc1)C(=O)O,IC50,'=',5.1,nM,,Active
CHEMBL1683998,,N[C@@H](CC(=O)N1CCn2nnc(-c3cccs3)c2C1)Cc1cc(F)c(F)cc1F,IC50,'=',22.76,nM,,Active
CHEMBL1683993,,CS(=O)(=O)c1ccc(-c2nnn3c2CN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC3)cc1,IC50,'=',33.17,nM,,Active
CHEMBL1683988,,COC(=O)c1cccc(-c2nnn3c2CN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)CC3)c1,IC50,'=',46.61,nM,,Active
CHEMBL1681811,,Cc1nnn2c1CN(C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)CC2,IC50,'=',77.06,nM,,Active
CHEMBL383705,,CC(C)[C@H](N)C(=O)N1CCCC1,IC50,'=',4000.0,nM,,Inactive
CHEMBL234414,,CCCCC1CN(C(c2ccccc2)c2ccccc2)CCC1N,IC50,'=',18600.0,nM,,Inactive
CHEMBL234635,,N[C@H]1C[C@@H](N2CCn3c(C(F)(F)F)cnc3C2)CCC1c1cc(F)c(F)cc1F,IC50,'=',21.0,nM,,Active
CHEMBL186611,,N[C@@H](CC(=O)N1CCCC[C@H]1Cc1ccccc1)Cc1ccccc1F,IC50,'=',1040.0,nM,,Inactive
CHEMBL359211,,NCCCCC(N)C(=O)N1CC=CCC1,IC50,'>',500000.0,nM,,Inactive
CHEMBL146450,,NCC[C@@H](N)C(=O)N1CCCCC1,IC50,'>>',1000000.0,nM,,Inactive
CHEMBL278393,,N[C@H](C(=O)N1CCCC1)C1CCCCC1,IC50,'=',1034.0,nM,,Inactive
CHEMBL360396,,N[C@@H](CC(=O)N1CCSC1)Cc1c(F)cccc1F,IC50,'=',8476.0,nM,,Inactive
CHEMBL473166,,CC(C)(CC(=O)N[C@H]1C[C@@H]1c1ccccc1)NCC(=O)N1CCC[C@H]1C#N,IC50,'=',85.0,nM,,Active
CHEMBL514617,,CC(C)(CC(=O)N[C@H]1C[C@@H]1c1ccc(F)cc1)NCC(=O)N1CCC[C@H]1C#N,IC50,'=',54.0,nM,,Active
CHEMBL515552,,CC(C)(CC(=O)N[C@H]1C[C@@H]1c1ccc(F)cc1F)NCC(=O)N1CCC[C@H]1C#N,IC50,'=',84.0,nM,,Active
CHEMBL536765,,CC1(C)CN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)Cc2nnc(C(F)(F)F)n21,IC50,'=',92.0,nM,,Active
CHEMBL2021529,,C[C@@H]1CN(C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)Cc2ccc(C(F)(F)F)n21,IC50,'=',14.0,nM,,Active
CHEMBL390513,,N#Cc1ccc(N[C@@H]2CN[C@H](C(=O)N3CCSC3)C2)nc1,IC50,'=',25.4,nM,,Active
CHEMBL3357770,,N[C@@H](CC(=O)N1[C@H](COC(=O)C2CC2)C[C@@H]2CCCC[C@@H]21)Cc1cc(F)c(F)cc1F,IC50,'=',80.0,nM,,Active
CHEMBL99247,,N[C@@H](CCNCc1ccc(OCc2ccccc2)cc1)C(=O)N1CCCCC1,IC50,'=',192000.0,nM,,Inactive
CHEMBL194250,,CCCC[C@@H](NC(=O)[C@@H](N)C(C)C)B(O)O,IC50,'=',17000.0,nM,,Inactive
CHEMBL1422,SITAGLIPTIN,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,IC50,'=',18.0,nM,,Active
CHEMBL2105762,OMARIGLIPTIN,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,IC50,'=',1.6,nM,,Active
CHEMBL328197,,N[C@@H](CCNC1CCNCC1)C(=O)N1CCCCC1,IC50,'=',64000.0,nM,,Inactive
CHEMBL1082346,,CO[C@@H]1C[C@H]2C[C@@H](NCC(=O)N3CCC[C@H]3C#N)C[C@H]2C1,IC50,'=',27.0,nM,,Active
CHEMBL142703,VILDAGLIPTIN,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,'=',3.0,nM,,Active
CHEMBL22310,,N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1,IC50,'=',48.0,nM,,Active
CHEMBL453573,,CC[C@@H](C)[C@H](N)C(=O)N1CCCC1,IC50,'=',3900.0,nM,,Inactive
CHEMBL237673,,N[C@@H](CO)C(=O)N1CCCC1P(=O)(Oc1ccccc1)Oc1ccccc1,IC50,'=',503000.0,nM,,Inactive
CHEMBL536312,,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)Cc1cc(F)c(F)cc1F,IC50,'=',6.3,nM,,Active
CHEMBL232914,,C[C@@H]1N[C@H](C(=O)N2CCC[C@H]2C#N)C[C@@H]1C(=O)N(C)C,IC50,'=',10.0,nM,,Active
CHEMBL397070,,CC[C@@H](C)[C@H](N)C(=O)N1Cc2ccccc2C1,IC50,'=',90000.0,nM,,Inactive
CHEMBL232185,,CC(C)(CO)NCC(=O)N1C[C@@H](F)C[C@H]1C(=O)c1nnc(C(C)(C)C)o1,IC50,'=',22.0,nM,,Active
CHEMBL463231,,CC(C)(CC(=O)N[C@H]1C[C@@H]1c1cccc(Cl)c1)NCC(=O)N1CC(F)(F)C[C@H]1C#N,IC50,'=',26.0,nM,,Active
